Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,surface_winrate_2y_ago,surface_winrate_lastear,svpt,total_games,age,player_url,residence,birthplace,birthdate,turned_pro,weight_kg,backhand,winner,vic_tournoi_A,vic_tournoi_F,vic_tournoi_G,vic_tournoi_M,vic_tournoi_carpet,vic_tournoi_clay,vic_tournoi_grass,vic_tournoi_hard,hand,country
Gaston Gaudio,51,33,15,12,2,9,5,4,175,114,55,1579,0.4898639169472503,0.4877314814814815,0.10403163580246913,81,25,31.1,http://www.atpworldtour.com/en/players/gaston-gaudio/g374/overview,"Buenos Aires, Argentina","Buenos Aires, Argentina",1978-12-09,1996.0,70.0,One-Handed Backhand,Gaston Gaudio,4.0,,,,,4.0,,,R,ARG
Gilles Muller,52,41,16,13,14,6,4,4,193,113,56,956,0.4676789900583663,0.45576309345894744,0.3113557973687724,84,27,35.3,http://www.atpworldtour.com/en/players/gilles-muller/ma30/overview,"Reckange-sur-Mess, Luxembourg","Luxembourg City, Luxembourg",1983-05-09,2001.0,89.0,Two-Handed Backhand,Gilles Muller,2.0,,,,,,1.0,1.0,L,LUX
Gilles Simon,47,32,18,12,4,8,5,2,183,112,33,1579,0.5308557701272647,0.5405758192004584,0.4138685620759748,81,25,37.8,http://www.atpworldtour.com/en/players/gilles-simon/sd32/overview,"Neuchatel, Switzerland","Nice, France",1984-12-27,2002.0,70.0,Two-Handed Backhand,Gilles Simon,13.0,,,,,5.0,,8.0,R,FRA
Go Soeda,42,28,16,12,3,7,4,3,178,100,106,552,0.2309630552096305,0.23498858447488583,0.18525114155251143,74,25,35.9,http://www.atpworldtour.com/en/players/go-soeda/sc47/overview,"Tokyo, Japan","Kanagawa, Japan",1984-09-05,2003.0,73.0,Two-Handed Backhand,,,,,,,,,,R,JPN
Grigor Dimitrov,51,37,16,13,7,6,4,4,188,112,34,2003,0.5688074180146845,0.5762199110853573,0.49486740773677185,81,26,31.6,http://www.atpworldtour.com/en/players/grigor-dimitrov/d875/overview,"Monte Carlo, Monaco","Haskovo, Bulgaria",1991-05-16,2008.0,80.0,One-Handed Backhand,Grigor Dimitrov,6.0,1.0,,1.0,,1.0,1.0,6.0,R,BUL
Guido Pella,55,38,15,13,5,8,5,2,185,120,65,940,0.4290928781286541,0.4380526151930262,0.2639921722113503,86,27,31.3,http://www.atpworldtour.com/en/players/guido-pella/pc11/overview,"Buenos Aires, Argentina","Bahia Blanca, Argentina",1990-05-17,2007.0,83.0,Two-Handed Backhand,Guido Pella,1.0,,,,,1.0,,,L,ARG
Guillermo Canas,44,31,17,12,5,7,4,2,185,116,40,1191,0.5227454838234543,0.6779201995059176,0.28962996571889493,76,24,31.3,http://www.atpworldtour.com/en/players/guillermo-canas/c433/overview,"Buenos Aires, Argentina","Buenos Aires, Argentina",1977-11-25,1995.0,86.0,Two-Handed Backhand,Guillermo Canas,1.0,,,,,1.0,,,R,ARG
Guillermo Coria,52,35,14,13,3,9,5,6,175,118,48,1773,0.5107452401250355,0.4078719723183391,0.16781045751633986,83,26,26.3,http://www.atpworldtour.com/en/players/guillermo-coria/c524/overview,"Venado Tuerto, Argentina","Rufino, Argentina",1982-01-13,2000.0,69.0,Two-Handed Backhand,Guillermo Coria,2.0,,,,,2.0,,,R,ARG
Guillermo Garcia Lopez,48,33,16,12,4,8,5,4,188,113,62,840,0.4257267213178255,0.43420129271636254,0.2474302159409986,81,25,36.2,,,,,,,,Guillermo Garcia Lopez,5.0,,,,,3.0,,2.0,R,ESP
Henri Laaksonen,50,34,17,13,5,8,5,4,185,109,141,473,0.3269427062530511,0.33035714285714285,0.30995484400656814,85,26,30.4,http://www.atpworldtour.com/en/players/henri-laaksonen/l949/overview,"Glattpark, Switzerland","Lohja, Finland",1992-03-31,2009.0,78.0,Two-Handed Backhand,,,,,,,,,,R,SUI
Horacio Zeballos,50,35,16,13,5,7,4,3,188,108,74,729,0.35078034424056237,0.334527278614214,0.3118226600985221,81,25,33.3,http://www.atpworldtour.com/en/players/horacio-zeballos/z184/overview,"Buenos Aires, Argentina","Mar del Plata, Argentina",1985-04-27,2003.0,83.0,One-Handed Backhand,Horacio Zeballos,2.0,,,,,2.0,,,L,ARG
Hubert Hurkacz,54,40,16,14,10,6,4,3,196,116,43,2039,0.5238543353849476,0.4334026203073822,0.6011531805704738,86,27,25.9,,,,,,,,Hubert Hurkacz,4.0,,,1.0,,,1.0,4.0,R,POL
Hyeon Chung,46,32,14,12,3,7,4,3,188,113,70,943,0.48454039848429287,0.3523006424792139,0.39015953182619845,75,24,23.4,http://www.atpworldtour.com/en/players/hyeon-chung/ch27/overview,"Suwon, South Korea","Suwon, South Korea",1996-05-19,2014.0,87.0,Two-Handed Backhand,Hyeon Chung,,1.0,,,,,,1.0,R,KOR
Hyung Taik Lee,53,36,16,13,3,8,4,2,180,109,64,636,0.3925592258925592,0.36002769536303064,0.31266504599837935,84,28,33.0,,,,,,,,,,,,,,,,,R,KOR
Igor Andreev,51,36,16,13,5,6,4,3,185,113,59,921,0.47544702454456395,0.5107441966174352,0.3099666711265262,82,26,29.9,http://www.atpworldtour.com/en/players/igor-andreev/a511/overview,"Moscow, Russia","Moscow, Russia",1983-07-14,2002.0,80.0,Two-Handed Backhand,Igor Andreev,4.0,,,,1.0,3.0,,,R,RUS
Igor Kunitsyn,46,30,15,12,3,8,5,2,180,101,85,666,0.3523869433753154,0.3374567419560417,0.06493055555555555,76,24,31.4,http://www.atpworldtour.com/en/players/igor-kunitsyn/k403/overview,"Vladivostok, Russia","Vladivostok, Russia",1981-09-30,1999.0,75.0,,Igor Kunitsyn,1.0,,,,,,,1.0,R,RUS
Igor Sijsling,48,35,16,12,8,7,4,2,190,95,91,625,0.3361690434674305,0.3709707962571481,0.25132008448540705,80,26,28.9,http://www.atpworldtour.com/en/players/igor-sijsling/sf36/overview,"Hoogstraten, Belgium","Amsterdam, Netherlands",1987-08-18,2006.0,85.0,One-Handed Backhand,,,,,,,,,,R,NED
Illya Marchenko,49,34,17,13,5,8,5,4,185,117,108,561,0.3487655981067126,0.35731453954345527,0.26070352839931155,83,27,34.1,http://www.atpworldtour.com/en/players/illya-marchenko/me89/overview,"Donetsk, Ukraine","Dneprodzerzhinsk, Ukraine",1987-09-08,2006.0,82.0,Two-Handed Backhand,,,,,,,,,,R,UKR
Ilya Ivashka,51,36,15,13,6,7,4,3,193,118,88,790,0.4744546816637609,0.2779573051312182,0.5311404632056806,82,26,28.9,http://www.atpworldtour.com/en/players/ilya-ivashka/i305/overview,"Minsk, Belarus","Minsk, Belarus",1994-02-24,2013.0,83.0,Two-Handed Backhand,Ilya Ivashka,1.0,,,,,,,1.0,R,BLR
Ivan Dodig,47,33,16,12,8,7,4,3,183,109,80,784,0.4141181377742341,0.4298633438230085,0.2996280697649479,79,25,32.5,http://www.atpworldtour.com/en/players/ivan-dodig/d646/overview,"Freeport, Bahamas","Medjugorje, Bosnia-Herzegovina",1985-01-02,2004.0,83.0,Two-Handed Backhand,Ivan Dodig,1.0,,,,,,,1.0,R,CRO
Ivan Ljubicic,49,38,17,13,12,5,4,2,193,114,20,1834,0.6050154225639952,0.6300941084906734,0.44211598074132696,82,27,32.9,http://www.atpworldtour.com/en/players/ivan-ljubicic/l360/overview,"Monte Carlo, Monaco","Banja Luka, Bosnia-Herzegovin",1979-03-19,1998.0,92.0,One-Handed Backhand,Ivan Ljubicic,8.0,,,1.0,1.0,1.0,,7.0,R,CRO
Ivo Karlovic,56,46,15,14,20,4,3,3,208,109,55,1045,0.5142773784253721,0.5202769510833367,0.20477804359383306,85,29,42.3,http://www.atpworldtour.com/en/players/ivo-karlovic/k336/overview,"Miami, FL, USA; Grand Bahama","Zagreb, Croatia",1979-02-28,2000.0,104.0,One-Handed Backhand,Ivo Karlovic,7.0,,,,,,3.0,4.0,R,CRO
Ivo Minar,46,31,16,12,5,7,4,2,183,94,101,508,0.2922193336162988,0.28728894604933386,0.3419834307992202,78,25,28.3,http://www.atpworldtour.com/en/players/ivo-minar/ma41/overview,"Prague, Czech Republic","Prague, Czech Republic",1984-05-21,2002.0,85.0,,,,,,,,,,,R,CZE
Jack Sock,49,36,18,13,7,7,4,4,185,112,73,1255,0.5250900692581295,0.5403829486408507,0.18490384615384614,83,27,30.3,http://www.atpworldtour.com/en/players/jack-sock/sm25/overview,"Kansas City, KS, USA","Lincoln, NE, USA",1992-09-24,2011.0,84.0,Two-Handed Backhand,Jack Sock,2.0,,,1.0,,1.0,,2.0,R,USA
James Blake,48,35,18,13,6,7,4,3,185,100,41,1526,0.5819162580718418,0.606351872588816,0.3580958323659159,83,27,33.6,http://www.atpworldtour.com/en/players/james-blake/b676/overview,"Westport, Connecticut","Yonkers, New York, USA",1979-12-28,1999.0,83.0,One-Handed Backhand,James Blake,9.0,,,,,,,9.0,R,USA
James Duckworth,51,36,20,14,8,8,5,3,183,116,147,596,0.33622975603618005,0.28573781291172595,0.3285337850555241,90,28,30.6,http://www.atpworldtour.com/en/players/james-duckworth/d994/overview,"Sydney, Australia","Sydney, Australia",1992-01-21,2010.0,82.0,Two-Handed Backhand,,,,,,,,,,R,AUS
Jan Hajek,45,29,12,11,3,8,4,2,180,90,101,528,0.2820144043831742,0.2579617031997984,0.2262755102040816,73,23,29.9,http://www.atpworldtour.com/en/players/jan-hajek/h571/overview,"Olomouc, Czech Republic","Olomouc, Czech Republic",1983-08-07,2000.0,80.0,Two-Handed Backhand,,,,,,,,,,R,CZE
Jan Hernych,54,36,15,13,3,9,5,2,190,106,112,514,0.33837105988640515,0.3412168253589061,0.12559722885809843,85,26,36.0,http://www.atpworldtour.com/en/players/jan-hernych/h442/overview,"Prague, Czech Republic","Prague, Czech Republic",1979-07-07,1998.0,83.0,Two-Handed Backhand,,,,,,,,,,R,CZE
Jan Lennard Struff,48,35,18,13,9,7,4,4,193,106,62,950,0.4241440753468244,0.43570964316118754,0.24183862433862435,83,26,32.7,,,,,,,,,,,,,,,,,R,GER
Janko Tipsarevic,47,34,18,13,7,7,4,3,180,117,70,1383,0.48660089095579917,0.4895659909132878,0.3687874251497006,82,27,35.3,http://www.atpworldtour.com/en/players/janko-tipsarevic/t742/overview,"Belgrade, Serbia","Belgrade, Serbia",1984-06-22,2002.0,80.0,Two-Handed Backhand,Janko Tipsarevic,6.0,,,,,3.0,,3.0,R,SRB
Jannik Sinner,50,35,17,13,5,7,4,2,188,121,40,2178,0.6426702551705523,0.47396331738437003,0.6805526461596785,82,26,21.4,,,,,,,,Jannik Sinner,5.0,1.0,,,,1.0,,5.0,R,ITA
Jared Donaldson,43,31,20,13,6,7,4,4,188,109,89,706,0.3973874495839541,0.24505108556832694,0.39188218390804597,81,26,22.3,http://www.atpworldtour.com/en/players/jared-donaldson/dc58/overview,"Irvine, CA, USA","Providence, RI, USA",1996-10-09,2014.0,75.0,Two-Handed Backhand,,,,,,,,,,R,USA
Jarkko Nieminen,53,36,14,13,3,7,4,2,185,102,48,963,0.46156480471849026,0.4716499916587549,0.3009363276927644,82,26,34.2,http://www.atpworldtour.com/en/players/jarkko-nieminen/n289/overview,"Masku, Finland","Masku, Finland",1981-07-23,2000.0,78.0,Two-Handed Backhand,Jarkko Nieminen,2.0,,,,,,,2.0,L,FIN
Jaume Munar,54,37,14,13,4,9,5,3,183,125,100,724,0.32528826775035513,0.2956786107403507,0.25137332931712947,85,26,25.6,http://www.atpworldtour.com/en/players/jaume-munar/mu94/overview,"Barcelona, Spain","Santanyi, Spain",1997-05-05,2014.0,78.0,Two-Handed Backhand,,,,,,,,,,R,ESP
Jeremy Chardy,50,36,16,13,8,7,4,4,188,109,55,983,0.45801649190935956,0.45382352482922306,0.1729371386254237,82,26,34.5,http://www.atpworldtour.com/en/players/jeremy-chardy/ca12/overview,"Liege, Belgium","Pau, France",1987-02-12,2005.0,75.0,Two-Handed Backhand,Jeremy Chardy,1.0,,,,,1.0,,,R,FRA
Jerzy Janowicz,54,40,16,14,9,7,4,5,203,112,71,1067,0.5104795198832266,0.531850160662946,0.359533231861999,86,29,26.9,http://www.atpworldtour.com/en/players/jerzy-janowicz/j397/overview,"Lodz, Poland","Lodz, Poland",1990-11-13,2007.0,94.0,Two-Handed Backhand,,,,,,,,,,R,POL
Jiri Vesely,53,39,15,13,8,7,4,4,198,115,69,793,0.3992620403694732,0.40463401258540366,0.3709889647389647,84,27,28.9,http://www.atpworldtour.com/en/players/jiri-vesely/v708/overview,"Ras Al Khaimah, UAE","Pribram, Czech Republic",1993-07-10,2009.0,92.0,Two-Handed Backhand,Jiri Vesely,2.0,,,,,,,2.0,L,CZE
Jo-Wilfried Tsonga,51,40,17,13,10,5,4,2,188,112,26,2602,0.6412248905248348,0.6420099723018793,0.1470192545265363,83,27,36.9,http://www.atpworldtour.com/en/players/jo-wilfried-tsonga/t786/overview,"Gingins, Switzerland","Le Mans, France",1985-04-17,2004.0,91.0,Two-Handed Backhand,Jo-Wilfried Tsonga,16.0,,,2.0,,1.0,,17.0,R,FRA
Joao Sousa,49,34,15,12,4,8,4,2,185,109,62,903,0.39672542803621025,0.412554472366753,0.31670641774268715,81,26,33.7,http://www.atpworldtour.com/en/players/joao-sousa/sh90/overview,"Barcelona, Spain","Guimaraes, Portugal",1989-03-30,2008.0,74.0,Two-Handed Backhand,Joao Sousa,4.0,,,,,1.0,,3.0,R,POR
John Isner,60,48,15,14,18,4,3,2,206,117,30,1903,0.5866191497543094,0.5880670239361634,0.5850092559769979,89,30,37.3,http://www.atpworldtour.com/en/players/john-isner/i186/overview,"Tampa, FL, USA","Greensboro, NC, USA",1985-04-26,2007.0,108.0,Two-Handed Backhand,John Isner,14.0,,,1.0,,1.0,4.0,10.0,R,USA
John Millman,52,36,17,13,4,8,4,2,183,117,76,886,0.41355168017667976,0.42783941649478374,0.3890050823313535,85,27,33.0,http://www.atpworldtour.com/en/players/john-millman/mh30/overview,"Brisbane, Australia","Brisbane, Australia",1989-06-14,2006.0,79.0,Two-Handed Backhand,John Millman,1.0,,,,,,,1.0,R,AUS
Jonas Bjorkman,50,34,16,13,4,9,5,3,183,111,75,584,0.3281760290148448,0.3505971659919028,0.31116758241758236,84,26,36.5,http://www.atpworldtour.com/en/players/jonas-bjorkman/b446/overview,"Stockholm, Sweden","Vaxjo, Sweden",1972-03-23,1991.0,83.0,Two-Handed Backhand,Jonas Bjorkman,1.0,,,,1.0,,,,R,SWE
Jordan Thompson,53,37,16,13,6,8,5,2,183,123,76,799,0.3978365543041365,0.3877769695742046,0.4777068809326874,85,27,28.3,http://www.atpworldtour.com/en/players/jordan-thompson/tc61/overview,"Sydney, Australia","Sydney, Australia",1994-04-20,2013.0,73.0,Two-Handed Backhand,,,,,,,,,,R,AUS
Jose Acasuso,43,30,18,12,6,7,4,3,190,106,49,858,0.48543417366946784,0.4699848580547201,0.5497198879551821,76,24,28.3,http://www.atpworldtour.com/en/players/jose-acasuso/a389/overview,"Buenos Aires, Argentina","Posadas-Misiones, Argentina",1982-10-20,1999.0,86.0,One-Handed Backhand,Jose Acasuso,1.0,,,,,1.0,,,R,ARG
Juan Carlos Ferrero,52,36,14,12,4,7,4,2,183,113,40,1175,0.5781551735055724,0.5822864548481084,0.3992946498930542,79,26,32.6,http://www.atpworldtour.com/en/players/juan-carlos-ferrero/f316/overview,"Villena, Spain","Onteniente, Spain",1980-02-12,1998.0,73.0,Two-Handed Backhand,Juan Carlos Ferrero,5.0,,,,,5.0,,,R,ESP
Juan Ignacio Chela,50,33,16,12,2,8,5,3,190,115,48,977,0.4708472431053062,0.46246588709742725,0.3317711805921091,81,25,32.8,http://www.atpworldtour.com/en/players/juan-ignacio-chela/c514/overview,"Buenos Aires, Argentina","Buenos Aires, Argentina",1979-08-30,1998.0,75.0,Two-Handed Backhand,Juan Ignacio Chela,4.0,,,,,4.0,,,R,ARG
Juan Martin del Potro,49,37,15,13,8,5,3,2,198,117,52,2650,0.699539450706429,0.6903299956771336,0.6505510571300046,78,26,30.6,http://www.atpworldtour.com/en/players/juan-martin-del-potro/d683/overview,"Tandil, Argentina","Tandil, Argentina",1988-09-23,2005.0,97.0,Two-Handed Backhand,Juan Martin del Potro,19.0,,1.0,1.0,,4.0,,17.0,R,ARG
Juan Monaco,51,34,13,12,2,7,4,2,185,111,47,1137,0.5248391762327793,0.5356325167453568,0.3745956237666163,78,25,32.5,http://www.atpworldtour.com/en/players/juan-monaco/ma21/overview,"Buenos Aires, Argentina","Tandil, Argentina",1984-03-29,2002.0,81.0,Two-Handed Backhand,Juan Monaco,9.0,,,,,8.0,,1.0,R,ARG
Julien Benneteau,51,36,14,13,6,7,4,3,185,111,72,847,0.45592323412569424,0.44098521674179436,0.45227661713748935,81,26,36.6,http://www.atpworldtour.com/en/players/julien-benneteau/b747/overview,"Boulogne-Billancourt, France","Bourg-en-Bresse, France",1981-12-20,2000.0,79.0,Two-Handed Backhand,,,,,,,,,,R,FRA
Jurgen Melzer,50,34,16,12,5,7,4,3,183,105,50,1173,0.4897483994872863,0.4860267057778215,0.6691393912161487,81,26,37.4,http://www.atpworldtour.com/en/players/jurgen-melzer/m762/overview,"Deutsch-Wagram, Austria","Vienna, Austria",1981-05-22,1999.0,81.0,Two-Handed Backhand,Jurgen Melzer,4.0,,,,,1.0,,3.0,L,AUT
Karen Khachanov,53,39,17,13,8,7,4,3,198,118,43,1685,0.5166623821819334,0.5120642412936759,0.5017701974371667,86,27,26.6,http://www.atpworldtour.com/en/players/karen-khachanov/ke29/overview,"Dubai, United Arab Emirates","Moscow, Russia",1996-05-21,2013.0,88.0,Two-Handed Backhand,Karen Khachanov,3.0,,,1.0,,,,4.0,R,RUS
Kei Nishikori,50,35,17,13,3,7,4,3,178,115,30,2786,0.6477172148060284,0.6535392490124252,0.5624147352174182,81,26,31.6,http://www.atpworldtour.com/en/players/kei-nishikori/n552/overview,"Bradenton, FL, USA","Shimane, Japan",1989-12-29,2007.0,75.0,Two-Handed Backhand,Kei Nishikori,12.0,,,,,2.0,,10.0,R,JPN
Kevin Anderson,54,42,16,14,13,5,4,3,203,118,40,1636,0.5654035589141714,0.5767097393609608,0.35337640323910346,84,28,35.7,http://www.atpworldtour.com/en/players/kevin-anderson/a678/overview,"Gulf Stream, FL, USA","Johannesburg, South Africa",1986-05-18,2007.0,93.0,Two-Handed Backhand,Kevin Anderson,6.0,,,,,,,6.0,R,RSA
Kevin Kim,45,32,15,12,5,8,4,4,180,94,98,519,0.2762472984079632,0.24927703875072296,0.38197767145135564,79,25,32.0,http://www.atpworldtour.com/en/players/kevin-kim/k358/overview,"Newport Coast, CA, U.S.A.","Torrance, CA, U.S.A.",1978-07-26,1997.0,75.0,One-Handed Backhand,,,,,,,,,,R,USA
Kristof Vliegen,48,33,15,12,6,7,4,2,193,103,86,627,0.39495407411317074,0.4246384166366083,0.2467429722176558,79,26,27.9,http://www.atpworldtour.com/en/players/kristof-vliegen/v309/overview,"Maaseik, Belgium","Maaseik, Belgium",1982-06-22,2001.0,75.0,Two-Handed Backhand,,,,,,,,,,R,BEL
Kyle Edmund,48,35,17,13,6,7,4,3,188,110,69,1124,0.4779352445394112,0.4913483847068686,0.04999999999999999,81,26,28.0,http://www.atpworldtour.com/en/players/kyle-edmund/e831/overview,"Beverley, Great Britain","Johannesburg, South Africa",1995-01-08,2012.0,83.0,Two-Handed Backhand,Kyle Edmund,2.0,,,,,,,2.0,R,GBR
Laslo Djere,51,35,16,13,6,8,5,4,188,120,72,920,0.4434343381301088,0.4004055519410106,0.3911421397827423,84,26,27.3,http://www.atpworldtour.com/en/players/laslo-djere/db63/overview,"Senta, Serbia","Senta, Serbia",1995-06-02,2013.0,80.0,Two-Handed Backhand,Laslo Djere,2.0,,,,,2.0,,,R,SRB
Leonardo Mayer,50,37,17,13,6,6,4,4,188,117,63,876,0.4496175003007078,0.46481063250223525,0.2280725251825415,82,27,33.2,http://www.atpworldtour.com/en/players/leonardo-mayer/md56/overview,"Buenos Aires, Argentina","Corrientes, Argentina",1987-05-15,2003.0,80.0,One-Handed Backhand,Leonardo Mayer,2.0,,,,,2.0,,,R,ARG
Lleyton Hewitt,49,35,21,14,7,7,4,4,180,121,52,1360,0.5833770916382859,0.6150766116394139,0.24094009778698017,87,28,34.2,http://www.atpworldtour.com/en/players/lleyton-hewitt/h432/overview,"Melbourne, Australia","Adelaide, Australia",1981-02-24,1998.0,77.0,Two-Handed Backhand,Lleyton Hewitt,6.0,,,,,,3.0,3.0,R,AUS
Lloyd Harris,52,39,13,13,10,6,4,2,193,113,78,930,0.43162461735953395,0.34611280487804874,0.47099358974358974,81,27,25.8,,,,,,,,,,,,,,,,,R,RSA
Lorenzo Musetti,51,34,14,12,3,7,4,2,185,112,70,1039,0.4549313858184825,0.0,0.49523297491039425,77,25,20.7,,,,,,,,Lorenzo Musetti,2.0,,,,,1.0,,1.0,R,ITA
Lorenzo Sonego,52,38,14,13,6,6,4,2,191,121,58,1228,0.46068426877302815,0.44607219224111594,0.4734972677595629,81,26,27.3,http://www.atpworldtour.com/en/players/lorenzo-sonego/su87/overview,,"Torino, Italy",1995-05-11,,73.0,Two-Handed Backhand,Lorenzo Sonego,3.0,,,,,1.0,1.0,1.0,R,ITA
Lucas Pouille,50,36,20,13,8,8,5,4,185,112,51,1466,0.4977883954478653,0.5261080497219959,0.17307770790435378,88,27,28.1,http://www.atpworldtour.com/en/players/lucas-pouille/pf39/overview,"Dubai, U.A.E.","Grande-Synthe, France",1994-02-23,2012.0,81.0,Two-Handed Backhand,Lucas Pouille,5.0,,,,,1.0,1.0,3.0,R,FRA
Luis Horna,52,38,14,13,6,7,4,3,180,110,73,580,0.3875639408788265,0.373790125736733,0.24795117698343505,81,26,27.9,http://www.atpworldtour.com/en/players/luis-horna/h390/overview,"Lima, Peru","Lima, Peru",1980-09-14,1998.0,82.0,One-Handed Backhand,Luis Horna,2.0,,,,,2.0,,,R,PER
Lukas Lacko,47,33,16,12,6,7,4,3,185,100,96,604,0.3030462905908987,0.30720229845229846,0.18792229729729726,80,26,31.3,http://www.atpworldtour.com/en/players/lukas-lacko/l797/overview,"Bratislava, Slovakia","Piestany, Slovakia",1987-11-03,2005.0,85.0,Two-Handed Backhand,,,,,,,,,,R,SVK
Lukas Rosol,49,35,17,13,6,7,5,3,196,101,71,804,0.3919201063495408,0.39659501485041054,0.0,84,26,36.9,http://www.atpworldtour.com/en/players/lukas-rosol/r685/overview,"Prague, Czech Republic","Brno, Czech Republic",1985-07-24,2004.0,84.0,Two-Handed Backhand,Lukas Rosol,2.0,,,,,1.0,,1.0,R,CZE
Lukasz Kubot,52,35,15,13,5,8,5,5,190,116,88,651,0.38636550099821465,0.40491472315182464,0.32220799726880894,83,26,32.7,http://www.atpworldtour.com/en/players/lukasz-kubot/k540/overview,"Lubin, Poland","Boleslawiec, Poland",1982-05-16,2002.0,86.0,Two-Handed Backhand,,,,,,,,,,R,POL
Mackenzie Mcdonald,53,37,15,13,5,8,5,3,178,113,97,736,0.4014037274453941,0.3543395525851666,0.40645208700764257,84,26,27.7,,,,,,,,,,,,,,,,,R,USA
Malek Jaziri,45,31,18,12,4,8,5,3,185,108,93,672,0.34175916760675173,0.35522144728556393,0.24739521667061332,82,25,37.1,http://www.atpworldtour.com/en/players/malek-jaziri/j267/overview,"Tunis, Tunisia","Bizerte, Tunisia",1984-01-20,2003.0,82.0,Two-Handed Backhand,,,,,,,,,,R,TUN
Marat Safin,50,36,18,13,8,7,4,3,193,113,45,1222,0.5062644136775987,0.5021728853142158,0.41482811051110025,85,28,29.7,http://www.atpworldtour.com/en/players/marat-safin/s741/overview,"Monte Carlo, Monaco","Moscow, Russia",1980-01-27,1997.0,88.0,Two-Handed Backhand,Marat Safin,,,1.0,,,,,1.0,R,RUS
Marc Gicquel,45,32,17,12,6,7,5,2,188,103,69,724,0.4064588782330718,0.4009753463993988,0.25688753269398434,80,25,36.8,http://www.atpworldtour.com/en/players/marc-gicquel/g436/overview,"Boulogne-Billancourt, France","Tunis, Tunisia",1977-03-30,1999.0,75.0,,,,,,,,,,,R,FRA
Marcel Granollers,48,33,15,12,4,7,4,2,190,112,59,927,0.4157729385479201,0.4200566387665469,0.3345960304325195,78,25,33.4,http://www.atpworldtour.com/en/players/marcel-granollers/g710/overview,"Barcelona, Spain","Barcelona, Spain",1986-04-12,2003.0,77.0,Two-Handed Backhand,Marcel Granollers,4.0,,,,,3.0,,1.0,R,ESP
Marco Cecchinato,53,37,14,13,4,7,4,2,185,105,73,1013,0.3645658005470229,0.3483333333333333,0.47750000000000004,82,26,30.2,http://www.atpworldtour.com/en/players/marco-cecchinato/cf01/overview,"Palermo, Italy","Palermo, Italy",1992-09-30,2010.0,78.0,One-Handed Backhand,Marco Cecchinato,3.0,,,,,3.0,,,R,ITA
Marco Chiudinelli,51,35,17,13,4,7,4,3,185,114,155,477,0.2847398705630413,0.2927850658113816,0.015151515151515152,83,26,36.1,http://www.atpworldtour.com/en/players/marco-chiudinelli/c582/overview,"Basel, Switzerland","Basel, Switzerland",1981-09-10,2000.0,85.0,Two-Handed Backhand,,,,,,,,,,R,SUI
Marcos Baghdatis,45,32,20,13,7,7,4,3,183,111,48,1093,0.5093002867489376,0.5202026470617634,0.350335453381429,82,26,34.0,http://www.atpworldtour.com/en/players/marcos-baghdatis/b837/overview,"Limassol, Cyprus","Limassol, Cyprus",1985-06-17,2003.0,82.0,Two-Handed Backhand,Marcos Baghdatis,4.0,,,,1.0,,,3.0,R,CYP
Marcos Giron,49,35,16,13,5,7,4,2,180,113,84,819,0.39504608294930876,0.2878343552830356,0.39967235074761953,82,26,29.5,http://www.atpworldtour.com/en/players/marcos-giron/gc88/overview,"Thousand Oaks,California,USA","Thousand Oaks,California, USA",1993-07-24,2014.0,77.0,Two-Handed Backhand,,,,,,,,,,R,USA
Mardy Fish,44,33,19,13,10,6,4,3,188,109,59,1384,0.556280376967569,0.5387159511851305,0.39776898840589636,79,26,33.6,http://www.atpworldtour.com/en/players/mardy-fish/f339/overview,"Los Angeles, California","Edina, Minnesota, USA",1981-12-09,2000.0,82.0,Two-Handed Backhand,Mardy Fish,5.0,,,,,1.0,1.0,3.0,R,USA
Marin Cilic,48,36,19,13,9,6,4,3,198,117,27,2307,0.6171718694599846,0.6238423595588882,0.5301166220168605,82,27,34.2,http://www.atpworldtour.com/en/players/marin-cilic/c977/overview,"Monte Carlo, Monaco","Medjugorje, Bosnia-Herzegovina",1988-09-28,2005.0,89.0,Two-Handed Backhand,Marin Cilic,17.0,,1.0,1.0,,2.0,2.0,15.0,R,CRO
Marinko Matosevic,47,32,15,12,4,8,5,3,194,103,84,659,0.3708753991549205,0.32382692363181925,0.34656895074550503,79,24,29.8,http://www.atpworldtour.com/en/players/marinko-matosevic/me05/overview,"Melbourne, Australia","Jajce, Bosnia-Herzegovina",1985-08-08,2003.0,86.0,Two-Handed Backhand,,,,,,,,,,R,AUS
Mario Ancic,48,36,15,12,9,6,3,2,196,110,41,1238,0.607472043824232,0.5972230018711575,0.4029930531367313,77,26,25.9,http://www.atpworldtour.com/en/players/mario-ancic/a385/overview,"Monte Carlo, Monaco","Split, Croatia",1984-03-30,2001.0,82.0,Two-Handed Backhand,Mario Ancic,3.0,,,,1.0,,2.0,,R,CRO
Marius Copil,48,35,18,13,11,7,4,3,193,108,135,486,0.3342592270598599,0.33539844930515983,0.6323086196503918,82,26,31.3,http://www.atpworldtour.com/en/players/marius-copil/ca99/overview,"Arad, Romania","Arad, Romania",1990-10-17,2008.0,86.0,One-Handed Backhand,,,,,,,,,,R,ROU
